DL No.,Category,Data Layer,Layer ID,API Status,Backend Source
1,World Ports,World Port Index,1_world_port_index,YES,Direct proxy via GET /api/data/:layerId → msi.nga.mil
2,Ocean,AIS Vessels,ais_vessels,YES,Dedicated endpoint in server/index.ts
3,Aviation,ADSB.lol,2_adsb_lol,YES,Direct proxy via GET /api/data/:layerId → adsb.lol
4,Aviation,adsb.fi,2_adsb_fi,YES,Direct proxy via GET /api/data/:layerId → adsb.fi
5,Aviation,FlightAware AeroAPI,2_flightaware_aeroapi,YES,Direct proxy via GET /api/data/:layerId → flightaware.com
6,Aviation,AirLabs API,2_airlabs_api,YES,Direct proxy via GET /api/data/:layerId → airlabs.co
7,Aviation,OpenFlights,2_openflights,YES,Direct proxy via GET /api/data/:layerId → openflights.org
8,Satellite,MODIS Terra True Color,3_planetary_computer_stac,YES (client-side),Tile layer loaded directly by CesiumJS from planetarycomputer.microsoft.com
9,Satellite,MODIS Aqua True Color,3_aws_earth_search,YES (client-side),Tile layer loaded directly by CesiumJS from element84.com
10,Satellite,MODIS Terra False Color (721),3_copernicus_data_space,YES (client-side),Tile layer loaded directly by CesiumJS from dataspace.copernicus.eu
11,Satellite,MODIS Terra Surface Reflectance 143,3_usgs_earthexplorer,YES (client-side),Tile layer loaded directly by CesiumJS from earthexplorer.usgs.gov
12,Satellite,MODIS Terra Land Surface Temp,3_usgs_appeears,YES (client-side),Tile layer loaded directly by CesiumJS from appeears.earthdatacloud.nasa.gov
13,Satellite,VIIRS SNPP True Color,3_veda_dashboard,YES (client-side),Tile layer loaded directly by CesiumJS from www.earthdata.nasa.gov
14,Satellite,MODIS Aerosol Optical Depth,3_jaxa_g_portal,YES (client-side),Tile layer loaded directly by CesiumJS from gportal.jaxa.jp
15,Satellite,MODIS Cloud Top Height,3_jaxa_himawari_monitor,YES (client-side),Tile layer loaded directly by CesiumJS from www.eorc.jaxa.jp
16,Satellite,MODIS Brightness Temp Band 31,3_noaa_goes_r_series,YES (client-side),Tile layer loaded directly by CesiumJS from www.goes-r.gov
17,Satellite,MODIS Surf. Reflectance 721,3_landsat_look,YES (client-side),Tile layer loaded directly by CesiumJS from landsatlook.usgs.gov
18,Satellite,MODIS Cloud Eff. Radius,3_planet_labs_open_data,YES (client-side),Tile layer loaded directly by CesiumJS from www.planet.com
19,Satellite,MODIS Cloud Fraction,3_openaerialmap,YES (client-side),Tile layer loaded directly by CesiumJS from openaerialmap.org
20,Satellite,MODIS Cloud Opt. Thickness,3_bhuvan_isro,YES (client-side),Tile layer loaded directly by CesiumJS from bhuvan.nrsc.gov.in
21,Satellite,AIRS Dust Score,3_air_centre_eo_catalog,YES (client-side),Tile layer loaded directly by CesiumJS from services.aircentre.org
22,Satellite,ASTER GDEM Color Index,3_aster_gdem,YES (client-side),Tile layer loaded directly by CesiumJS from asterweb.jpl.nasa.gov
23,Satellite,MODIS Corr. Refl. 367,3_srtm,YES (client-side),Tile layer loaded directly by CesiumJS from srtm.csi.cgiar.org
24,Satellite,GHRSST Sea Surface Temp,3_gebco,YES (client-side),Tile layer loaded directly by CesiumJS from www.gebco.net
