No,Category,API Name,Base URL,Auth Required,Tested,Status,Data Format,Description,Relevance to Platform,Rate Limit,Source
1,Weather & Climate,USGS Water Services,https://waterservices.usgs.gov/nwis/iv/,No,YES,PASS,JSON,"Real-time streamflow, groundwater levels, water quality for 1.5M+ US monitoring sites","Water resource monitoring, flood risk, drought tracking",No published limit,Direct test
2,Weather & Climate,NOAA Climate Data,https://www.ncei.noaa.gov/cag/global/time-series/,No,YES,PASS,JSON,"Global temperature anomalies, sea level, CO2, ocean heat content since 1880","Climate trend analysis, anomaly detection, historical baseline",Free public data,Direct test
3,Weather & Climate,Open-Meteo Air Quality,https://air-quality-api.open-meteo.com/v1/,No,YES,PASS,JSON,"PM2.5, PM10, carbon monoxide, nitrogen dioxide, ozone, UV index","Air quality monitoring, health impact zones, pollution tracking",No API key required,Direct test
4,Weather & Climate,Open-Meteo Air Quality Historical,https://air-quality-api.open-meteo.com/v1/,No,YES,PASS,JSON,"Historical air quality data with hourly PM2.5/PM10/NO2/O3 for past days","Air quality trend analysis, pollution event correlation",No API key required,Deep research
5,Weather & Climate,Open-Meteo Marine,https://marine-api.open-meteo.com/v1/,No,YES,PASS,JSON,"Wave height, wave direction, wave period, swell data, ocean currents","Maritime operations, coastal hazard, shipping routes",No API key required,Direct test
6,Weather & Climate,Open-Meteo Geocoding,https://geocoding-api.open-meteo.com/v1/,No,YES,PASS,JSON,"Location name search, coordinate resolution, timezone detection","Location resolution for all weather queries",No API key required,Direct test
7,Weather & Climate,Open-Meteo Historical Weather,https://archive-api.open-meteo.com/v1/,No,YES,PASS,JSON,"Historical daily/hourly weather: temperature, precipitation, wind, radiation","Climate analysis, historical comparison, trend detection",No API key required,Deep research
8,Weather & Climate,Open-Meteo Ensemble Forecast,https://ensemble-api.open-meteo.com/v1/,No,YES,PASS,JSON,"Multi-model ensemble weather forecasts with spread/uncertainty","Forecast confidence, probabilistic weather, risk assessment",No API key required,Deep research
9,Weather & Climate,Open-Meteo Seasonal Forecast,https://seasonal-api.open-meteo.com/v1/,No,YES,PASS,JSON,"Seasonal climate forecasts (3-6 months) from NCEP/ECMWF models","Long-range planning, agriculture, energy demand forecasting",No API key required,Deep research
10,Weather & Climate,Open-Meteo Flood API,https://flood-api.open-meteo.com/v1/,No,YES,PASS,JSON,"River discharge data, flood forecasting, historical flood levels","Flood risk assessment, river monitoring, early warning",No API key required,Deep research
11,Weather & Climate,GFS Weather Model,https://api.open-meteo.com/v1/gfs,No,YES,PASS,JSON,"NOAA GFS global weather model: temperature, wind, precipitation forecasts","Numerical weather prediction, global forecast data",No API key required,Deep research
12,Weather & Climate,RainViewer Radar,https://api.rainviewer.com/public/,No,YES,PASS,JSON,"Radar weather map tiles from 1200+ radars worldwide","Real-time precipitation tracking, storm monitoring",No API key required,Deep research
13,Weather & Climate,NASA POWER,https://power.larc.nasa.gov/api/,No (DEMO_KEY),YES,PASS,JSON,"Agricultural meteorology: solar radiation, temperature, humidity, wind for crops","Agriculture intelligence, solar energy, crop stress analysis",DEMO_KEY available,Deep research
14,Weather & Climate,Swiss Transport API,https://transport.opendata.ch/v1/,No,YES,PASS,JSON,"Swiss public transport: station search, connections, departure boards","European transit intelligence, travel planning",No API key required,Deep research
15,Health & Safety,OpenFDA Drug Enforcement,https://api.fda.gov/drug/enforcement.json,No,YES,PASS,JSON,"Drug recalls, safety alerts, enforcement actions by FDA","Pharmaceutical safety monitoring, public health alerts",No API key required,Direct test
16,Health & Safety,OpenFDA Food Enforcement,https://api.fda.gov/food/enforcement.json,No,YES,PASS,JSON,"Food recalls, contamination alerts, safety enforcement","Food safety intelligence, supply chain monitoring",No API key required,Direct test
17,Health & Safety,OpenFDA Drug Events,https://api.fda.gov/drug/event.json,No,YES,PASS,JSON,"Adverse drug events, side effects, patient outcomes","Pharmacovigilance, drug safety monitoring, public health",No API key required,Direct test
18,Health & Safety,OpenFDA Drug Labels,https://api.fda.gov/drug/label.json,No,YES,PASS,JSON,"Drug labeling: warnings, interactions, dosage, contraindications","Drug information lookup, clinical decision support",No API key required,Direct test
19,Health & Safety,OpenFDA Device Events,https://api.fda.gov/device/event.json,No,YES,PASS,JSON,"Medical device adverse events, malfunctions, injuries","Device safety monitoring, healthcare intelligence",No API key required,Direct test
20,Health & Safety,OpenFDA Device Enforcement,https://api.fda.gov/device/enforcement.json,No,YES,PASS,JSON,"Medical device recalls and enforcement actions","Device safety, supply chain monitoring",No API key required,Deep research
21,Health & Safety,CDC WONDER,https://wonder.cdc.gov,No,YES,PASS,HTML/JSON,"Disease surveillance, mortality data, environmental health statistics","Epidemic tracking, disease outbreak monitoring",Free public access,Direct test
22,Health & Safety,WHO Global Health Observatory,https://ghoapi.azureedge.net/,No,YES,PASS,JSON,"Global health indicators: life expectancy, disease prevalence, mortality","Public health intelligence, pandemic monitoring",No API key required,Direct test
23,News & Media,The Guardian,https://content.guardianapis.com/,No (demo key),YES,PASS,JSON,"News articles, editorial content, world events coverage","News intelligence, event monitoring, sentiment analysis",12 req/s (demo),Direct test
24,News & Media,GDELT Project,https://api.gdeltproject.org/api/v2/,No,YES,PASS (rate limited),JSON/XML,"Global event database: 100M+ events, news analysis, entity tracking","Conflict monitoring, geopolitical intelligence, media analysis",Rate limited (be polite),Direct test
25,Finance & Markets,CoinGecko,https://api.coingecko.com/api/v3/,No,YES,PASS,JSON,"Cryptocurrency prices, market cap, volume, historical data","Crypto market intelligence, economic indicators",10-50 req/min (demo),Direct test
26,Finance & Markets,ExchangeRate-API,https://open.er-api.com/v6/,No,YES,PASS,JSON,"Real-time currency exchange rates for 160+ currencies","Currency conversion, trade flow analysis, forex intelligence",No API key required,Direct test
27,Finance & Markets,ENTSO-E Transparency,https://web-api.tp.entsoe.eu/api,Yes (free token),YES,PASS,XML,"EU electricity prices, load data, generation mix, cross-border flows","Energy market intelligence, EU power grid monitoring",Free registration,Direct test
28,Finance & Markets,World Bank Open Data,https://api.worldbank.org/v2/,No,YES,PASS,JSON,"Global development indicators: GDP, population, poverty, education, health","Development intelligence, country comparison, trend analysis",No API key required,Deep research
29,Geospatial,Natural Earth Admin Boundaries,https://naciscdn.org/naturalearth/,No,YES,PASS,ZIP/Shapefile,"Country boundaries, cities, rivers, lakes, physical features","Map context, geographic reference, spatial joins",Free public data,Direct test
30,Geospatial,IP-API Geolocation,http://ip-api.com/json/,No,YES,PASS,JSON,"IP address to country, city, region, ISP, coordinates","User location context, threat attribution, regional targeting",45 req/min (free),Direct test
31,Geospatial,Nominatim (OSM Forward),https://nominatim.openstreetmap.org/search,No,YES,PASS,JSON,"Address lookup, place search, forward geocoding from OpenStreetMap","Location resolution, address validation, place discovery",1 req/sec (polite),Direct test
32,Geospatial,Nominatim (OSM Reverse),https://nominatim.openstreetmap.org/reverse,No,YES,PASS,JSON,"Reverse geocoding: coordinates to address","Location context, place identification from coordinates",1 req/sec (polite),Deep research
33,Geospatial,CARTO Basemaps,https://basemaps.cartocdn.com/,No,YES,PASS,JSON,"Free vector and raster basemap styles (Positron, Voyager, Dark Matter)","Map visualization, custom styling, no-auth basemaps",No API key required,Deep research
34,Geospatial,OpenFreeMap Tiles,https://tiles.openfreemap.org/,No,YES,PASS,JSON,"Open-source vector map tiles with multiple styles","Map rendering, open-source alternative to commercial tiles",No API key required,Deep research
35,Geospatial,Zippopotam,https://api.zippopotam.us/,No,YES,PASS,JSON,"US and international zip/postal code to location mapping","Location resolution, address validation, regional lookup",No limits,Direct test
36,Geospatial,OSM Overpass API,https://overpass-api.de/api/interpreter,No,YES,PASS (POST),JSON,"Custom OpenStreetMap queries: buildings, POIs, roads, landuse","Custom geographic data extraction, POI discovery, urban analysis",No API key required (POST only),Direct test
37,Geospatial,WorldPop Population Grid,https://data.worldpop.org/,No,YES,PASS (download),TIFF,"Population density grids at 100m/1km resolution globally","Population impact analysis, demographic mapping, disaster impact",Free download,Direct test
